query,allocation,size,elements,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
Positive length,standard,1,1336,0.0157777,0.0149993,0.010312,0.0140344,0.0084846,0.015591,0.00903544,0.0164581,0.00898265,0.0159045,0.00884932,0.0162252,0.00918593,0.0160955,0.0085583,0.0166929,0.00897465,0.0156244,0.00887295,0.0170453,0.00920868,0.0168622,0.00902582,0.0163579,0.0090986,0.0142519,0.00839118,0.0123639,0.00886387
Positive length,standard,2,3473,0.0171024,0.0159437,0.014526,0.0149029,0.0131241,0.0156734,0.0171705,0.0135004,0.0129817,0.0149458,0.0150813,0.015905,0.0160531,0.0159449,0.0164725,0.0159862,0.0160409,0.0157006,0.0148599,0.0161216,0.0151587,0.0159461,0.0171083,0.0159161,0.015439,0.0201892,0.0144142,0.0149325,0.0161756
Positive length,standard,4,8115,0.0187654,0.0255754,0.0188297,0.0286686,0.018308,0.0220817,0.0201761,0.0201288,0.0234282,0.0213076,0.0211815,0.0226686,0.0205549,0.0189584,0.0240678,0.0180016,0.0187629,0.0215462,0.0221686,0.0214521,0.0191186,0.0229681,0.0188337,0.0243086,0.0184856,0.0200602,0.0214944,0.0213624,0.0208641
Positive length,standard,8,16242,0.0416078,0.0332981,0.0331712,0.0292727,0.0330873,0.0330556,0.0296145,0.0330193,0.0333328,0.0294557,0.0324168,0.0328473,0.0302766,0.0326838,0.0331932,0.0313048,0.0329242,0.0330599,0.0402265,0.0368575,0.0310082,0.0345392,0.0318902,0.0307324,0.0351522,0.0303816,0.0309226,0.035417,0.0301767
Positive length,standard,16,31080,0.0538573,0.0516451,0.0506673,0.0535528,0.0504419,0.0503123,0.0563515,0.0569034,0.0646085,0.051674,0.0512642,0.051454,0.0497691,0.0491919,0.0508551,0.0516879,0.0507299,0.0586832,0.0567566,0.0586152,0.0515799,0.0516117,0.0518347,0.0500227,0.0506358,0.0504301,0.0505696,0.0561523,0.0557139
Positive length,standard,32,64459,0.110041,0.109989,0.114024,0.108075,0.105113,0.106118,0.115434,0.104962,0.110638,0.107073,0.105541,0.105208,0.107025,0.104879,0.107634,0.104984,0.104937,0.104299,0.105138,0.109563,0.107353,0.111174,0.105801,0.105068,0.108367,0.105967,0.107526,0.111898,0.104186
Positive length,standard,64,126585,0.204549,0.202566,0.202221,0.205738,0.203816,0.204067,0.211496,0.201161,0.204361,0.204893,0.20443,0.202905,0.20299,0.203873,0.203945,0.201018,0.210645,0.207468,0.200385,0.206007,0.202766,0.205138,0.203151,0.202469,0.204581,0.203045,0.198387,0.201146,0.213758
Positive length,alternative,1,1336,0.0105026,0.0114205,0.0169619,0.0104356,0.0102034,0.0160168,0.00996953,0.0106571,0.0143302,0.00936956,0.00992133,0.016407,0.00973479,0.00980946,0.0135605,0.00948802,0.0100336,0.012632,0.00988829,0.0100342,0.012747,0.0104935,0.0102727,0.0150339,0.0107029,0.0105725,0.0127578,0.0102632,0.00964434
Positive length,alternative,2,3473,0.0149929,0.0112721,0.0156498,0.010938,0.0153887,0.011197,0.0156623,0.0113894,0.0127094,0.0110742,0.0125006,0.012263,0.0129751,0.0120349,0.015757,0.0117752,0.0153894,0.0120952,0.0150641,0.0118544,0.0160089,0.0119001,0.0154409,0.0119457,0.0151927,0.0109451,0.0159072,0.0110486,0.0159174
Positive length,alternative,4,8115,0.0224191,0.0215727,0.0216535,0.020716,0.0253824,0.0210531,0.020641,0.0223341,0.0187005,0.0200531,0.0199572,0.0228119,0.0207698,0.0228195,0.0224782,0.0201807,0.0194388,0.0218201,0.0211955,0.020686,0.0250559,0.0205275,0.0208747,0.0229698,0.0191675,0.0194963,0.0225058,0.022469,0.0204721
